rainfall,temp,evtp,gwlt-1,gwl
3.5,28.029032,5.792258,-68.078261,-68.078261
7.8,28.523333,6.174,-68.078261,-68.254883
19.2,29.458065,6.175161,-68.254883,-68.218229
85.8,28.793333,5.213667,-68.218229,-66.893092
268.7,27.122581,4.017419,-66.893092,-66.727424
433.9,26.654839,3.785161,-66.727424,-67.247467
250.6,26.396552,3.501724,-67.247467,-67.584107
272.9,26.670968,3.859032,-67.584107,-67.065365
141.4,27.063333,3.818,-67.065365,-66.346904
149,27.583871,3.836774,-66.346904,-66.522233
25.7,27.92,4.262333,-66.522233,-68.254883
34.8,28.219355,5.103226,-68.254883,-67.047253
46,28.393548,5.369032,-67.047253,-67.857232
87.2,28.64,5.541667,-67.857232,-66.346904
206.9,27.96129,4.870645,-66.346904,-67.047253
182.2,27.33,4.304667,-67.047253,-67.155617
324.6,26.041935,3.340968,-67.155617,-67.584107
280.1,25.587097,2.889032,-67.584107,-67.247467
322.5,25.6,3.101071,-67.247467,-67.247467
150,26.277419,3.772903,-67.247467,-66.346904
109.4,26.943333,4.260667,-66.346904,-66.346904
139.1,27.719355,4.224194,-66.346904,-67.047253
156.3,26.856667,3.649,-67.047253,-66.346904
10.6,28.080645,4.948065,-66.346904,-68.218229
69.1,28.735484,5.330968,-68.218229,-66.330477
92.8,28.46,5.178333,-66.330477,-66.389969
138.5,28.196774,5.146452,-66.389969,-66.841955
327.5,26.23,3.639333,-66.841955,-67.036777
257.8,26.241935,3.712581,-67.036777,-66.389969
211.8,26.003226,3.846129,-66.389969,-66.727424
257.3,26.139286,3.658214,-66.727424,-66.346904
219.9,26.293548,3.962258,-66.346904,-66.389969
142.8,26.773333,4.126667,-66.389969,-67.155617
170.8,26.796774,3.663548,-67.155617,-66.841955
184.5,26.23,3.686667,-66.841955,-66.330477
61.3,27.367742,4.561613,-66.330477,-65.942857
48.3,28.090323,5.238065,-65.942857,-65.85614
91.3,28.076667,5.249667,-65.85614,-65.946842
206,26.390323,4.029355,-65.946842,-65.932545
388.3,26.133333,3.741667,-65.932545,-66.158182
218.6,26.145161,3.876452,-66.158182,-66.162258
164.2,25.954839,3.910323,-66.162258,-66.240317
255.9,25.775,3.359643,-66.240317,-66.286667
287.4,26.122581,4.102581,-66.286667,-66.737931
165.4,26.65,4.204333,-66.737931,-66.88087
81.4,27.76129,4.512258,-66.88087,-66.959036
51.6,28.293333,4.669667,-66.959036,-67.285577
25.8,28.151613,5.038065,-67.285577,-67.372329
2,28.267742,5.759355,-67.372329,-67.448
7.7,28.823333,6.334333,-67.448,-67.631273
29.6,29.667742,6.140645,-67.631273,-67.748972
132,28.29,4.966333,-67.748972,-67.845455
168.1,27.716129,4.707419,-67.845455,-67.696712
256.7,26.545161,3.828387,-67.696712,-67.751148
250.3,26.924138,4.134483,-67.751148,-67.96375
201.4,27.264516,4.237097,-67.96375,-68.073514
211.7,27.756667,4.271667,-68.073514,-67.584107
34.9,29.819355,5.135806,-67.584107,-68.331111
84.2,28.31,4.447667,-68.331111,-68.475493
44.8,28.048387,5.009355,-68.475493,-68.548169
16.6,28.693548,5.759032,-68.548169,-69.478286
